Epoch	Train Loss	Train Accuracy(%)	Test Loss	Test Accuracy(%)
1	0.100495	86.545	0.468666	43.11
2	0.0783471	89.9633	0.269592	66.49
3	0.0683662	91.4617	0.226181	72.03
4	0.0637927	92.145	0.185985	77.26
5	0.0602514	92.665	0.142866	82.5
6	0.0572165	93.045	0.129514	84.28
7	0.0555943	93.3267	0.12411	84.84
8	0.0545934	93.3817	0.107004	87.01
9	0.0534841	93.6433	0.0983253	88.23
10	0.0523525	93.7633	0.0921564	89.23
11	0.051581	93.85	0.0837581	90.12
12	0.0515556	93.8983	0.0790492	90.86
13	0.0514306	93.9383	0.0841585	90.25
14	0.0506523	94.065	0.0803709	90.59
15	0.0502796	94.1167	0.0791873	90.82
16	0.0500504	94.13	0.0745315	91.48
17	0.0488751	94.2783	0.0756531	91.26
18	0.0483509	94.3967	0.0748908	91.52
19	0.0475927	94.5283	0.075188	91.47
20	0.0476699	94.5183	0.0739832	91.6
