epoch,train_loss,train_accuracy,test_loss,test_accuracy,time_ms
0,0.523166,0.603733,2.63834,0.417,152772
1,0.405087,0.7399,1.33682,0.6271,152328
2,0.372481,0.791967,1.04889,0.706,154110
3,0.348202,0.8515,0.686488,0.7962,154723
4,0.338895,0.857733,0.646398,0.7998,180342
5,0.331532,0.88955,0.635039,0.847,158860
6,0.327116,0.872017,0.64019,0.8194,132539
7,0.328106,0.87155,0.70636,0.8134,131477
8,0.318585,0.903167,0.475051,0.8693,131619
9,0.325016,0.907033,0.474076,0.8824,133058
10,0.316949,0.904483,0.452148,0.8747,132044
11,0.314485,0.893117,0.504937,0.8536,132704
12,0.307482,0.910983,0.466842,0.8857,133912
13,0.321854,0.898967,0.566499,0.8598,132916
14,0.318537,0.888633,0.606758,0.8441,131929
15,0.314905,0.899283,0.511991,0.8689,131805
16,0.318216,0.908783,0.49556,0.8775,133210
17,0.314172,0.9213,0.382316,0.9006,133020
18,0.314855,0.921183,0.390119,0.8975,132535
19,0.317236,0.910433,0.445507,0.8803,133208
